Y,X,Type,Hoshlds,GeoUID,AP(Cns),ShapeAr,CMA_UID,Popultn,CSD_UID,Dwllngs,PR_UID,CD_UID,ReginNm,Ar(skm),id
5043403.4052492,299651.287323188,CT,1756,4620149.0000000000,3141,0.1381900000,"24462",3161,"2466023",1924,"24","2466",Montr_al,0.1381900000,
5046310.53942045,299077.48397292,CT,2756,4620185.0000000000,5262,0.3931600000,"24462",5217,"2466023",2982,"24","2466",Montr_al,0.3931600000,
5043169.73383027,294350.668298037,CT,1492,4620222.0000000000,3757,0.1989400000,"24462",3587,"2466023",1634,"24","2466",Montr_al,0.1989400000,
5039604.87185065,294487.049501695,CT,1506,4620117.0000000000,4478,0.2704700000,"24462",4359,"2466023",1614,"24","2466",Montr_al,0.2704700000,
5041081.21044663,294940.555255406,CT,2592,4620124.0000000000,5834,0.3783600000,"24462",5729,"2466023",2899,"24","2466",Montr_al,0.3783600000,
5035248.07121,299739.373125017,CT,1524,4620306.0000000000,2799,0.2230100000,"24462",2847,"2466023",1635,"24","2466",Montr_al,0.2230100000,
5035671.2465358,299652.703249684,CT,2083,4620305.0000000000,3709,0.3506900000,"24462",3762,"2466023",2250,"24","2466",Montr_al,0.3506900000,
5044118.34675856,300444.00614986,CT,968,4620033.0000000000,1703,0.1534100000,"24462",1735,"2466023",1044,"24","2466",Montr_al,0.1534100000,
5042714.95336971,290675.778947295,CT,2072,4620410.0099999998,5393,0.8713000000,"24462",5540,"2466023",2199,"24","2466",Montr_al,0.8713000000,
5048222.2801537,293604.781863502,CT,1357,4620274.0000000000,3040,0.4793000000,"24462",3014,"2466023",1454,"24","2466",Montr_al,0.4793000000,
5044895.12743515,294910.577035253,CT,954,4620236.0000000000,1772,0.1076700000,"24462",1761,"2466023",1020,"24","2466",Montr_al,0.1076700000,
5051389.30853425,294995.385465798,CT,2183,4620611.0199999996,5497,0.5645200000,"24462",5541,"2466023",2357,"24","2466",Montr_al,0.5645200000,
5043649.0422855,296313.27797529,CT,1449,4620217.0000000000,2605,0.1624600000,"24462",2650,"2466023",1522,"24","2466",Montr_al,0.1624600000,
5043131.17106457,295959.593201502,CT,271,4620166.0000000000,480,0.2348100000,"24462",491,"2466023",336,"24","2466",Montr_al,0.2348100000,
5047916.05640212,301320.125826205,CT,2704,4620013.0000000000,4824,1.0841500000,"24462",5166,"2466023",2904,"24","2466",Montr_al,1.0841500000,
5042273.61847692,300683.285282316,CT,604,4620042.0000000000,900,0.1025900000,"24462",944,"2466023",678,"24","2466",Montr_al,0.1025900000,
5040080.91312113,293745.785555923,CT,2393,4620119.0000000000,6458,0.5753900000,"24462",6337,"2466023",2553,"24","2466",Montr_al,0.5753900000,
5041200.58459233,294100.498444955,CT,689,4620121.0000000000,1829,0.3854200000,"24462",1769,"2466023",718,"24","2466",Montr_al,0.3854200000,
5041084.72445204,300152.531946227,CT,731,4620057.0000000000,1320,0.1456700000,"24462",1617,"2466023",870,"24","2466",Montr_al,0.1456700000,
5041269.17268024,300253.871875978,CT,754,4620058.0000000000,957,0.1513000000,"24462",1123,"2466023",920,"24","2466",Montr_al,0.1513000000,
5045560.69009611,296381.578373169,CT,3017,4620242.0000000000,6180,0.3704500000,"24462",6261,"2466023",3250,"24","2466",Montr_al,0.3704500000,
5037168.39009953,296537.651485471,CT,1068,4620095.0000000000,2018,0.2215800000,"24462",2109,"2466023",1230,"24","2466",Montr_al,0.2215800000,
5036774.97879481,296039.180192654,CT,1086,4620096.0000000000,2233,0.1930100000,"24462",2276,"2466023",1234,"24","2466",Montr_al,0.1930100000,
5040681.71029899,294427.074444125,CT,2949,4620122.0000000000,6857,0.6660700000,"24462",6595,"2466023",3366,"24","2466",Montr_al,0.6660700000,
5044857.49039591,295755.91035916,CT,1562,4620245.0000000000,2793,0.2196500000,"24462",2886,"2466023",1639,"24","2466",Montr_al,0.2196500000,
5037100.50805454,294406.917968932,CT,1983,4620102.0000000000,4089,0.5898200000,"24462",4213,"2466023",2194,"24","2466",Montr_al,0.5898200000,
5036635.98486336,295134.608028209,CT,1101,4620103.0000000000,2414,0.3331000000,"24462",2413,"2466023",1150,"24","2466",Montr_al,0.3331000000,
5037039.89169175,295499.381620298,CT,1129,4620104.0000000000,2752,0.3798700000,"24462",2821,"2466023",1162,"24","2466",Montr_al,0.3798700000,
5037448.81224753,295479.443075866,CT,912,4620106.0000000000,2037,0.2375100000,"24462",2114,"2466023",968,"24","2466",Montr_al,0.2375100000,
5050999.56896817,303742.313034381,CT,1593,4620005.0000000000,3163,0.5646400000,"24462",3060,"2466023",1749,"24","2466",Montr_al,0.5646400000,
