GeoUID,geometry
4620149.0,POINT (2996.51287323188 50434.034052492)
4620185.0,POINT (2990.7748397292 50463.105394204504)
4620222.0,POINT (2943.5066829803704 50431.69733830271)
4620117.0,POINT (2944.87049501695 50396.0487185065)
4620124.0,POINT (2949.4055525540603 50410.8121044663)
4620306.0,POINT (2997.39373125017 50352.4807121)
4620305.0,POINT (2996.52703249684 50356.712465358)
4620033.0,POINT (3004.4400614986 50441.1834675856)
4620410.01,POINT (2906.7577894729498 50427.1495336971)
4620274.0,POINT (2936.04781863502 50482.222801537006)
4620236.0,POINT (2949.10577035253 50448.9512743515)
4620611.02,POINT (2949.95385465798 50513.8930853425)
4620217.0,POINT (2963.1327797529 50436.490422855)
4620166.0,POINT (2959.59593201502 50431.3117106457)
4620013.0,POINT (3013.20125826205 50479.1605640212)
4620042.0,POINT (3006.83285282316 50422.7361847692)
4620119.0,POINT (2937.45785555923 50400.8091312113)
4620121.0,POINT (2941.0049844495497 50412.005845923304)
4620057.0,POINT (3001.52531946227 50410.8472445204)
4620058.0,POINT (3002.5387187597803 50412.691726802404)
4620242.0,POINT (2963.81578373169 50455.6069009611)
4620095.0,POINT (2965.37651485471 50371.683900995304)
4620096.0,POINT (2960.39180192654 50367.7497879481)
4620122.0,POINT (2944.27074444125 50406.8171029899)
4620245.0,POINT (2957.5591035916 50448.5749039591)
4620102.0,POINT (2944.06917968932 50371.005080545394)
4620103.0,POINT (2951.34608028209 50366.359848633605)
4620104.0,POINT (2954.9938162029803 50370.398916917504)
4620106.0,POINT (2954.79443075866 50374.4881224753)
4620005.0,POINT (3037.42313034381 50509.9956896817)
4620006.0,POINT (3038.04521020485 50503.259733830506)
4620001.0,POINT (3038.65435257689 50518.812440310205)
4620002.0,POINT (3034.8350053110203 50518.9986198296)
4620003.0,POINT (3029.9823135411402 50520.6030604654)
4620007.0,POINT (3026.36184891342 50506.2854898653)
4620019.0,POINT (3020.8161049119303 50455.2260630612)
4620021.0,POINT (3020.6202686014703 50450.20433954341)
4620022.0,POINT (3017.95467610287 50446.1598120252)
4620023.0,POINT (3015.5627944511 50441.84660520041)
4620008.0,POINT (3036.91549803412 50498.6139864467)
4620009.0,POINT (3031.44007818928 50482.752720795004)
4620010.0,POINT (3023.0525692 50483.511222249996)
4620011.0,POINT (3021.55714317217 50496.537296593895)
4620123.0,POINT (2948.8467847553698 50403.612774979905)
4620016.0,POINT (3027.05102548885 50462.7438072511)
4620017.0,POINT (3022.69119071137 50460.0373061611)
4620018.0,POINT (3021.9806293150605 50457.8208406345)
4620168.0,POINT (2970.4229757488797 50424.4744876369)
4620351.0,POINT (2976.3038015531497 50384.20837210151)
4620366.0,POINT (2958.3415430902005 50419.516120723005)
4620114.0,POINT (2952.11043587962 50383.9936911112)
4620118.0,POINT (2941.8717564284702 50397.959924415205)
4620113.0,POINT (2945.44062442339 50386.9155057179)
4620367.0,POINT (2953.87550412962 50421.344302882004)
4620116.0,POINT (2949.37204915273 50393.137542636)
4620126.0,POINT (2957.98464179019 50405.675705083704)
4620059.0,POINT (2996.4544658872 50415.321399217304)
4620060.0,POINT (2998.15127602375 50413.8120934885)
4620128.0,POINT (2977.1247915294402 50404.0117475391)
4620050.0,POINT (2998.02789567833 50424.3910439654)
4620056.0,POINT (3000.0489802 50407.132973499996)
4620062.0,POINT (2994.50675564816 50402.9236955456)
4620063.0,POINT (2991.3025749271997 50395.96540706501)
4620064.0,POINT (2987.6313541547197 50398.311304165305)
4620163.0,POINT (2977.24062397849 50421.5664965081)
4620164.0,POINT (2975.5359209463404 50419.4018448365)
4620165.0,POINT (2967.50834137859 50425.2163417786)
4620037.0,POINT (3009.1776735592803 50436.2592807013)
4620038.0,POINT (3008.51351717461 50432.249220260106)
4620039.0,POINT (3012.15637668007 50430.439860471895)
4620041.0,POINT (3009.34144557637 50425.3969420913)
4620043.0,POINT (3008.98234886022 50419.8145325747)
4620044.0,POINT (3001.65646044037 50422.0727136327)
4620045.0,POINT (3004.7615352897005 50424.1088130238)
4620046.0,POINT (3002.3496797805 50426.098795778904)
4620047.0,POINT (3004.03262292884 50428.9976428381)
4620048.0,POINT (3000.3862456360803 50431.4289754084)
4620049.0,POINT (2999.33516 50427.92241000001)
4620207.0,POINT (2970.93969503432 50451.53882827941)
4620067.0,POINT (2987.01732576111 50385.2670443957)
4620068.0,POINT (2990.46282803825 50388.8679984305)
4620071.0,POINT (3007.4018989605497 50387.8218500237)
4620077.0,POINT (2994.3372820693203 50386.2809089435)
4620072.0,POINT (3008.96600283153 50377.713139676096)
4620073.0,POINT (3000.6325118755503 50383.8154227091)
4620074.0,POINT (2998.64924504239 50373.78667512871)
4620075.0,POINT (2996.3921000588703 50376.6509754881)
4620076.0,POINT (2994.32751879335 50378.848584832)
4620079.0,POINT (2984.35407981401 50375.535765084)
4620080.0,POINT (2983.71366037865 50381.535427535506)
4620139.0,POINT (2983.67834634601 50423.456936852905)
4620140.0,POINT (2985.6894303209006 50428.559676078105)
4620141.0,POINT (2987.5660646623905 50427.3653718863)
4620142.0,POINT (2989.07077317404 50425.6795877116)
4620143.0,POINT (2992.55824606629 50422.1749136879)
4620084.0,POINT (2974.87776172022 50365.34333478931)
4620085.0,POINT (2985.18482285232 50365.89383704041)
4620086.0,POINT (2981.8520354626103 50354.735487120495)
4620087.0,POINT (2975.7029995133303 50358.3893932579)
4620352.0,POINT (2970.45723916504 50376.243063462796)
4620353.0,POINT (2966.78529231949 50379.1656125475)
4620354.0,POINT (2964.61728051347 50383.888842666594)
4620355.0,POINT (2973.98481691012 50388.812298944395)
4620356.0,POINT (2963.13706280166 50389.1170776376)
4620360.0,POINT (2969.561043 50411.932969500005)
4620361.0,POINT (2957.4121385686003 50410.0812837844)
4620362.0,POINT (2962.14862262883 50417.0745944719)
4620363.0,POINT (2969.23657659355 50421.0588569053)
4620364.0,POINT (2960.39846265 50427.5837835)
4620365.0,POINT (2958.8024618683403 50424.8635030097)
4620209.0,POINT (2971.5652251423403 50446.644339689905)
4620210.0,POINT (2974.0999498553597 50439.354186396806)
4620211.0,POINT (2970.47908459572 50442.2301342631)
4620212.0,POINT (2967.89121854888 50443.875949472196)
4620213.0,POINT (2965.18756814817 50445.59243024821)
4620214.0,POINT (2962.7259094936803 50441.22295941671)
4620216.0,POINT (2967.22815204398 50434.4571801132)
4620219.0,POINT (2958.5060707736598 50434.9034992902)
4620220.0,POINT (2952.0096274284 50432.5723062006)
4620221.0,POINT (2949.99039657985 50428.914064482495)
4620239.0,POINT (2950.42920071684 50453.8415985287)
4620240.0,POINT (2953.9501725611103 50457.5264734696)
4620241.0,POINT (2957.22565295447 50459.772162958405)
4620247.0,POINT (2962.47226305514 50447.3081031016)
4620265.0,POINT (2935.2308484048403 50456.013403863006)
4620266.0,POINT (2933.6288251017804 50451.3882797387)
4620267.0,POINT (2929.7113268644703 50444.7540084699)
4620269.0,POINT (2920.46858047631 50447.8883185878)
4620271.0,POINT (2927.49986593952 50464.471834944496)
4620272.0,POINT (2930.10437697515 50470.870815287206)
4620273.0,POINT (2933.18622397153 50477.3597917872)
4620275.0,POINT (2929.65886389668 50488.062026680804)
4620276.0,POINT (2925.1280809728105 50482.403336235206)
4620277.0,POINT (2923.9555387141004 50474.1541837185)
4620370.0,POINT (2934.20753396924 50378.994042784805)
4620249.0,POINT (2963.81993936827 50459.833917199)
4620250.0,POINT (2965.95349954369 50463.11563772301)
4620252.0,POINT (2974.31910210796 50469.053371020396)
4620253.0,POINT (2968.43230583691 50472.721730136705)
4620254.0,POINT (2973.4053424072104 50475.229086862404)
4620256.0,POINT (2955.6409808999997 50470.48473725001)
4620257.0,POINT (2961.4071672000005 50478.1822655)
4620259.0,POINT (2952.82748005731 50491.3208736615)
4620260.0,POINT (2946.15020986526 50486.3238358326)
4620261.0,POINT (2950.84729 50483.46706)
4620262.0,POINT (2946.1094130493398 50475.8884803711)
4620263.0,POINT (2940.2848253362 50476.88175430331)
4620167.0,POINT (2965.0507098777803 50429.7259394923)
4620171.0,POINT (2973.8381947417597 50429.5907395668)
4620172.0,POINT (2976.9797671156703 50432.341643480504)
4620173.0,POINT (2978.63137753422 50434.5309131367)
4620174.0,POINT (2980.27413666065 50437.1622021157)
4620175.0,POINT (2981.47442957996 50438.8827961071)
4620176.0,POINT (2982.82939289133 50440.088142396606)
4620177.0,POINT (2983.81893800624 50441.7132540672)
4620179.0,POINT (2981.5923511739697 50446.6961118514)
4620180.0,POINT (2984.57409245 50451.196601999996)
4620181.0,POINT (2990.35603825391 50450.3485319002)
4620182.0,POINT (2985.83268979884 50453.665233313804)
4620183.0,POINT (2986.77422866616 50455.4507180598)
4620184.0,POINT (2988.0622750737098 50457.9682604489)
4620186.0,POINT (2993.4288131076 50458.394908631504)
4620189.0,POINT (2999.3566049657097 50469.121655183)
4620191.0,POINT (3010.46378331114 50494.776545636894)
4620192.0,POINT (3017.16155442036 50508.8403446356)
4620193.0,POINT (3020.8239969842 50516.551306217305)
4620194.0,POINT (3020.52039145872 50523.2143238421)
4620196.0,POINT (2995.22371554334 50480.1829955808)
4620197.0,POINT (2990.03888209489 50482.7841001704)
4620198.0,POINT (2988.6352918668804 50476.48228035241)
4620199.0,POINT (2989.31121822659 50470.5978742712)
4620201.0,POINT (2983.13573964569 50466.8409660595)
4620202.0,POINT (2979.46110148207 50460.7858960705)
4620203.0,POINT (2974.87530353239 50457.7718560812)
4620204.0,POINT (2980.0462636151397 50455.3958466308)
4620205.0,POINT (2977.64512924879 50451.6574520009)
4620350.0,POINT (2979.36677981615 50380.5379817485)
4620380.0,POINT (2928.06252540611 50369.694446890404)
4620381.0,POINT (2921.9454374949 50355.6149771087)
4620304.0,POINT (2988.62827813443 50357.21711171311)
4620385.0,POINT (2942.68568290142 50379.70764337981)
4620307.0,POINT (2993.46121521794 50352.0809304835)
4620390.0,POINT (2920.1571761918103 50328.96859492081)
4620391.0,POINT (2911.36975482416 50326.025611948506)
4620303.0,POINT (2988.11044640701 50361.3777489294)
4620392.0,POINT (2904.9836581465897 50325.9630525622)
4620393.0,POINT (2908.72882892894 50334.2680182454)
4620394.0,POINT (2919.65033097713 50337.821159017)
4620396.0,POINT (2886.84274170224 50331.719978409106)
4620397.0,POINT (2884.31282690438 50339.664275228)
4620400.0,POINT (2944.50124500442 50422.777593153)
4620401.0,POINT (2935.11064066868 50411.0295394674)
4620288.0,POINT (2855.52498846245 50417.2950691794)
4620300.0,POINT (2999.09314589476 50363.2876682325)
4620301.0,POINT (2994.40659311621 50367.7071492729)
4620302.0,POINT (2993.62772504201 50361.2358018825)
4620278.0,POINT (2920.07866018001 50467.57413137169)
4620279.0,POINT (2916.3125195626003 50460.5105467584)
4620280.0,POINT (2914.55996069532 50449.7755323)
4620281.0,POINT (2907.3074759935503 50451.6498638165)
4620310.0,POINT (2984.74861845155 50345.774467074)
4620282.0,POINT (2899.5787482526202 50446.349276936)
4620284.0,POINT (2889.1672870738003 50445.1444980359)
